Sample Name	Protocol REF	Extract Name	Protocol REF	Raw Data File R1	Protocol REF	Single-cell Sequencing Raw Data File	Protocol REF	Pseudobulk File	Protocol REF	Feature Annotation File
Healthy_1053BW	Extraction	extract_Healthy_1053BW	Single cell sequencing	scs_rawdata_extract_Healthy_1053BW_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_Healthy_1053BW.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
Healthy_1193BW	Extraction	extract_Healthy_1193BW	Single cell sequencing	scs_rawdata_extract_Healthy_1193BW_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_Healthy_1193BW.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
Healthy_2773BW	Extraction	extract_Healthy_2773BW	Single cell sequencing	scs_rawdata_extract_Healthy_2773BW_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_Healthy_2773BW.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
Healthy_2982BW	Extraction	extract_Healthy_2982BW	Single cell sequencing	scs_rawdata_extract_Healthy_2982BW_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_Healthy_2982BW.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
Healthy_3126BW	Extraction	extract_Healthy_3126BW	Single cell sequencing	scs_rawdata_extract_Healthy_3126BW_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_Healthy_3126BW.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
Healthy_3283BW	Extraction	extract_Healthy_3283BW	Single cell sequencing	scs_rawdata_extract_Healthy_3283BW_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_Healthy_3283BW.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
Healthy_3577BW	Extraction	extract_Healthy_3577BW	Single cell sequencing	scs_rawdata_extract_Healthy_3577BW_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_Healthy_3577BW.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
Healthy_5046BW	Extraction	extract_Healthy_5046BW	Single cell sequencing	scs_rawdata_extract_Healthy_5046BW_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_Healthy_5046BW.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
Healthy_6130BW	Extraction	extract_Healthy_6130BW	Single cell sequencing	scs_rawdata_extract_Healthy_6130BW_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_Healthy_6130BW.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
Healthy_7541BW	Extraction	extract_Healthy_7541BW	Single cell sequencing	scs_rawdata_extract_Healthy_7541BW_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_Healthy_7541BW.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
Healthy_BP0219101	Extraction	extract_Healthy_BP0219101	Single cell sequencing	scs_rawdata_extract_Healthy_BP0219101_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_Healthy_BP0219101.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
Healthy_BP0319250	Extraction	extract_Healthy_BP0319250	Single cell sequencing	scs_rawdata_extract_Healthy_BP0319250_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_Healthy_BP0319250.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
Healthy_BP05191345	Extraction	extract_Healthy_BP05191345	Single cell sequencing	scs_rawdata_extract_Healthy_BP05191345_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_Healthy_BP05191345.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
Healthy_BP08191115	Extraction	extract_Healthy_BP08191115	Single cell sequencing	scs_rawdata_extract_Healthy_BP08191115_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_Healthy_BP08191115.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV001-BL	Extraction	extract_INCOV001-BL	Single cell sequencing	scs_rawdata_extract_INCOV001-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV001-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV002-BL	Extraction	extract_INCOV002-BL	Single cell sequencing	scs_rawdata_extract_INCOV002-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV002-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV003-BL	Extraction	extract_INCOV003-BL	Single cell sequencing	scs_rawdata_extract_INCOV003-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV003-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
